Voltage,Board,CORE,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1608,1680,1728,1800,1848,1920,1968,2040,2088,2160,2208,2280,2328,2400,2448,2520,2568
720,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,3,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,4,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,5,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,6,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,7,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,7,0,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,,
720,7,0,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,
800,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,
850,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
900,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
950,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1050,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,7,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,7,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,
800,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,7,2,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,7,3,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,7,3,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,
800,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
900,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
950,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1050,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,7,4,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,7,5,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1050,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,7,6,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1050,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,7,7,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,8,0,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
900,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
650,8,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,
720,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
950,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
650,8,2,1,1,1,1,1,1,1,1,X,X,,,,,,,,,,,,,,,,,
720,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
950,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,8,3,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,
720,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
950,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
650,8,4,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,
720,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
850,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
650,8,5,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,
720,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
650,8,6,1,1,1,1,1,1,1,1,X,X,,,,,,,,,,,,,,,,,
720,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,8,7,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,
720,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
650,9,0,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,,
720,9,0,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,
800,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,
850,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1050,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,9,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,,
720,9,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,
800,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,
850,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
900,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1050,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,9,2,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,,,
720,9,2,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,
800,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,
850,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,9,3,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,,
720,9,3,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,
800,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
900,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1050,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,9,4,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,,
720,9,4,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,
800,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
900,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,9,5,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,,
720,9,5,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,
800,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,
